Designator,Footprint,Quantity,Value,LCSC Part #
"C406, C501, C502, C503, C505, C601, C602, C607, C608",1206,9,10u,C1849
"C407, C504, C603",0402,3,100n,C307331
"C408, C409, C430, C506, C507, C508, C604, C605, C606",1206,9,22u,C1859
C410,0402,1,1u,C52923
"D1, D402, D501",0603,3,LED,C2286
D401,0603,1,LED,C2288
J201,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0_16P,C2765186
"L402, L501, L601",IND-SMD_L4.0-W4.0_YSMC0420V,3,1.5u,C19630740
"R11, R406, R407, R505",0402,4,1k,C11702
"R201, R202",0402,2,5.1k,C25905
R404,0805,1,25k,C153306
R405,0805,1,9.1k,C17855
R408,0603,1,33k,C4216
R409,0805,1,6k,C2828725
"R460, R461",1206,2,33m,C65419
"R501, R601",0402,2,10k,C25744
R502,0805,1,470k,C17709
R503,0805,1,150k,C17470
"R504, R602",1206,2,100k,C17900
U402,QFN-18_2MMx3MM_MP2672_MNP_MPS,1,MP2672GD-0000-Z,C2837210
U403,CONN-TH_MR30-Vertical,1,Battery (MR-30),C99873
"U501, U601",VREG_TPS63070RNMR,2,TPS63070RNMR,C109322
