Designator,Mid X,Mid Y,Rotation,Layer
C406,143.2,-106.5,0.0,top
C407,148.7,-105.4,135.0,top
C408,138.4,-97.2,0.0,top
C409,139.3,-99.6,0.0,top
C410,149.5,-104.7,135.0,top
C430,145.201012,-97.640329,0.0,top
C501,137.475,-89.675,0.0,top
C502,134.25,-87.275,180.0,top
C503,134.25,-84.875,180.0,top
C504,140.105,-81.275,0.0,top
C505,134.7,-77.9,180.0,top
C506,137.7,-75.2,180.0,top
C507,140.475,-72.5,180.0,top
C508,145.225,-70.9,0.0,top
C601,150.5,-88.075,90.0,top
C602,154.2,-88.025,90.0,top
C603,162.38,-81.3,0.0,top
C604,156.675,-75.984909,180.0,top
C605,157.525,-73.1,0.0,top
C606,151.775,-71.0,180.0,top
C607,159.925,-78.4,0.0,top
C608,160.075,-85.4,0.0,top
D1,163.6,-118.4,90.0,top
D401,135.7,-118.4,270.0,top
D402,126.9,-118.4,270.0,top
D501,169.2,-118.4,90.0,top
J201,146.412818,-118.025,0.0,top
L402,148.0,-109.2,90.0,top
L501,130.3,-81.3,90.0,top
L601,154.359315,-81.6,90.0,top
R11,163.6,-114.7,270.0,top
R201,139.9,-119.51,90.0,top
R202,152.9,-118.5,270.0,top
R404,154.9,-101.0,180.0,top
R405,151.4,-102.2,270.0,top
R406,137.6,-109.5,270.0,top
R407,133.7,-108.7,270.0,top
R408,140.0,-103.4,180.0,top
R409,152.6,-105.0,0.0,top
R460,149.1,-98.1,90.0,top
R461,151.6,-98.1,90.0,top
R501,137.675,-85.775,90.0,top
R502,143.0,-80.875,270.0,top
R503,145.0,-80.9,90.0,top
R504,142.6625,-84.225,180.0,top
R505,169.125,-114.4025,270.0,top
R601,160.11,-87.7,0.0,top
R602,166.0,-80.3,270.0,top
U402,146.412818,-102.2,180.0,top
U403,148.35,-93.3,180.0,bottom
U501,136.55,-81.475,180.0,top
U601,158.834315,-81.75,180.0,top
